State,House,S.No.,MP Name,Constituency,District,Total Entitlement (in Crore),"Total GOI Release 
 (in Crore)",Total Release Pending (in Crore),"UnSanction Balance 
(in Crore)","UnSpent Balance
(in Crore)","Last Inst. 
No.",Last Inst. Yr.,"Last Release 
Date","Last Release
Amount
(in Crore)",Column16,Pending Inst. No & Year.,Reasons for not Release
Karnataka,null,21,Shri Sanganna Amarappa Karadi,KOPPAL,KOPPAL,17,7,10,0.77,1.31,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Karnataka,null,22,Shri Shivkumar Chanabasappa Udasi,HAVERI,HAVERI,17,7,10,-0.01,0.18,1,2021-2022,20-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Karnataka,null,23,Shri Suresh Chanabasappa Angadi-Ex,BELGAUM,BELAGAVI,10,5,5,0.38,1.18,2,2019-2020,16-06-2021,2.5,null,1 / 2023-2024,Eligible MPR not Received.
Karnataka,null,24,SHRI. Bache B.N. Gowda,CHIKBALLAPUR,CHIKBALLAPUR,17,9.5,7.5,0.05,0.35,1,2022-2023,25-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Karnataka,null,25,SHRI. L.S. Tejasvi Surya,BANGALORE SOUTH,BENGALURU URBAN,17,5,12,-4.56,0.07,2,2019-2020,10-02-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Karnataka,null,26,SHRI. V. Srinivas Prasad,CHAMARAJANAGAR(SC),CHAMARAJNAGAR,17,9.5,7.5,0.2,0.46,1,2022-2023,21-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Karnataka,null,27,SHRI. Y Devendrappa,BELLARY(ST),BALLARI,17,7,10,0.43,0.89,1,2021-2022,27-12-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Utilisation Certificate Pending."
Karnataka,null,28,Smt Mangal Suresh Angadi,BELGAUM,BELAGAVI,12,2,10,0.15,0.61,1,2021-2022,25-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Karnataka,null,29,Smt Sumalatha Ambareesh,MANDYA,MANDYA,17,9.5,7.5,0.23,1.54,1,2022-2023,15-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Kerala,8,1,Dr. M. P. Abdussamad Samadani,MALAPPURAM,MALAPPURAM,12,2,10,-4.55,1.45,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,2,ADV. Abdul Majeed Ariff,ALAPPUZHA,ALAPPUZHA,17,7,10,-3.8,0.74,1,2021-2022,14-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,3,ADV. Adoor Prakash,ATTINGAL,THIRUVANANTHAPURAM,17,7,10,-10.05,0.07,1,2021-2022,02-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,4,ADV. Dean Kuria kose,IDUKKI,IDUKKI,17,7,10,-6.23,3.69,1,2021-2022,30-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,5,Dr. Shashi Tharoor,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,17,7,10,-7.53,0.04,1,2021-2022,28-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,6,Ms RAMYA HARIDAS,ALATHUR(SC),PALAKKAD,17,7,10,-9.3,2.22,1,2021-2022,22-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,7,Shri Anto Antony,PATHANAMTHITTA,PATHANAMTHITTA,17,7,10,-8.16,0.07,1,2021-2022,23-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,8,Shri Behanan Benny,CHALAKUDY,ERNAKULAM,17,7,10,-7.77,3.31,1,2021-2022,30-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,9,Shri E. T. Mohammed Basheer,PONNANI,MALAPPURAM,17,7,10,-7.72,2.56,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,10,Shri K. Muraleedharan,VADAKARA,KOZHIKODE,17,7,10,-5.43,3.5,1,2021-2022,22-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,11,Shri Kunhalikutty P.K.,MALAPPURAM,MALAPPURAM,5,5,0,0.7,0.85,2,2019-2020,14-06-2021,2.5,null,null,
Kerala,null,12,Shri M. K. Raghavan,KOZHIKODE,KOZHIKODE,17,7,10,-7.18,1.99,1,2021-2022,18-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,13,Shri N.K. Premachandran,KOLLAM,KOLLAM,17,9.5,7.5,-6.82,2.22,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Kerala,null,14,Shri Rahul Gandhi,WAYANAD,WAYANAD,17,7,10,-7.29,1.28,1,2021-2022,14-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,15,Shri Suresh Kodikunnil,MAVELIKKARA(SC),KOLLAM,17,7,10,-7.87,4.8,1,2021-2022,29-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Kerala,null,16,Shri Thomas Chazhikadan,KOTTAYAM,KOTTAYAM,17,7,10,-5.71,0.02,1,2021-2022,13-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,17,SHRI. Hibi Eden,ERNAKULAM,ERNAKULAM,17,7,10,-9.63,1.63,1,2021-2022,03-10-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,18,SHRI. Kumbakudi Sudhakaran,KANNUR,KANNUR,17,7,10,-2.19,2.7,1,2021-2022,20-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Kerala,null,19,SHRI. Rajmohan Unnithan,KASARAGOD,KASARAGOD,17,7,10,-4.05,0.28,1,2021-2022,17-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,20,SHRI. T N PRATHAPAN,THRISSUR,THRISSOOR,17,7,10,-8.67,2.04,1,2021-2022,30-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Kerala,null,21,SHRI. Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,PALAKKAD,17,7,10,-6.08,2.98,1,2021-2022,02-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Ladakh,8,1,SHRI. Jamyang Tsering Namgyal,LADAKH,LEH,17,7,10,0.87,0.87,1,2021-2022,26-07-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Lakshadweep,8,1,Shri Faizal P.P. Mohammed,LAKSHADWEEP(ST),LAKSHADWEEP,22,2.5,19.5,-1.35,0.66,1,2019-2020,13-03-2020,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,1 / 2018-2019,2 / 2018-2019,2 / 2022-2023,2 / 2019-2020",Eligible MPR not Received.
Madhya Pradesh,8,1,Dr Krishna Pal Singh Yadav,GUNA,ASHOK NAGAR,17,7,10,0,0,1,2021-2022,30-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,2,Dr. Dhal Singh Bisen,BALAGHAT,BALAGHAT,17,12,5,0.27,0.4,2,2022-2023,31-01-2023,2.5,null,1 / 2023-2024,
Madhya Pradesh,null,3,Dr. Virendra Kumar,TIKAMGARH(SC),TIKAMGARH,17,9.5,7.5,0.03,2.22,1,2022-2023,23-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,4,Shri Chhatar Singh Darbar,DHAR(ST),DHAR,17,9.5,7.5,-0.34,0.8,1,2022-2023,15-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,5,Shri Faggan Singh Kulaste,MANDLA(ST),MANDLA,17,9.5,7.5,0.04,0.9,1,2022-2023,23-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,6,Shri Gajendra Singh Patel,KHARGONE(ST),KHARGAON,17,7,10,0.24,0.79,1,2021-2022,14-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,7,Shri Ganesh Singh,SATNA,SATNA,17,9.5,7.5,-0.11,0,1,2022-2023,02-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,8,Shri Gyaneshwar Patil,KHANDWA,KHANDWA,24,4.5,19.5,-0.05,0.65,1,2022-2023,27-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,9,Shri Janardan Mishra,REWA,REWA,17,9.5,7.5,0.06,1.78,1,2022-2023,21-10-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,10,Shri Nakul K. Nath,CHHINDWARA,CHHINDWARA,17,9.5,7.5,-1.09,1.28,1,2022-2023,29-06-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,11,Shri Narendra Singh Tomar,MORENA,MORENA,17,7,10,-0.32,1.7,1,2021-2022,27-01-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,12,Shri Prahlad Singh Patel,DAMOH,DAMOH,17,9.5,7.5,-0.85,1.8,1,2022-2023,27-06-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,13,Shri Rajbahadur Singh,SAGAR,SAGAR,17,7,10,0.75,1.54,1,2021-2022,31-01-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,14,Shri Rakesh Singh,JABALPUR,JABALPUR,17,2.5,14.5,-0.78,0.88,1,2019-2020,31-10-2019,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2019-2020,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,15,Shri Ramakant Bhargava,VIDISHA,RAISEN,17,7,10,0.3,0.62,1,2021-2022,09-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,16,Shri Rodmal Nagar,RAJGARH,RAJGARH,17,9.5,7.5,0.65,1.06,1,2022-2023,02-06-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,17,Shri Shankar Lalwani,INDORE,INDORE,17,9.5,7.5,-0.54,0.95,1,2022-2023,21-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,18,Shri Sudheer Gupta,MANDSOUR,MANDSAUR,17,7,10,0.45,0.6,1,2021-2022,14-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,19,Shri Uday Pratap Singh,HOSHANGABAD,HOSHANGABAD,17,9.5,7.5,0.11,1.03,1,2022-2023,08-06-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,20,Shri Vivek Narayan Shejwalkar,GWALIOR,GWALIOR,17,9.5,7.5,-3.27,0.41,1,2022-2023,20-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,21,SHRI. Anil Firojiya,UJJAIN(SC),UJJAIN,17,9.5,7.5,-2.26,0.19,1,2022-2023,13-09-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,22,SHRI. Durga Das Uikey,BETUL(ST),BETUL,17,12,5,0.3,2.23,2,2022-2023,23-12-2022,2.5,null,1 / 2023-2024,
Madhya Pradesh,null,23,SHRI. Guman Singh Damor,RATLAM(ST),JHABUA,17,9.5,7.5,-4.07,0.22,1,2022-2023,17-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,24,SHRI. Mahendra Singh Solanky,DEWAS(SC),DEWAS,17,9.5,7.5,0.15,0.61,1,2022-2023,19-12-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,25,SHRI. Vishnu Dutt Sharma,KHAJURAHO,PANNA,17,7,10,0.55,1.51,1,2021-2022,08-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Madhya Pradesh,null,26,Smt Himadri Singh,SHAHDOL (ST),ANUPPUR,17,9.5,7.5,0.12,0.58,1,2022-2023,02-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,27,Smt Sandhya Ray,BHIND(SC),BHIND,17,9.5,7.5,0.62,2.65,1,2022-2023,18-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,28,Smt. Pragya Singh Thakur,BHOPAL,SEHORE,17,9.5,7.5,-0.03,0.19,1,2022-2023,02-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Madhya Pradesh,null,29,Smt. Riti Pathak,SIDHI,SIDHI,17,5,12,-0.12,0.13,2,2019-2020,28-03-2021,2.5,null,"1 / 2022-2023,1 / 2021-2022,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Maharashtra,8,1,Syed Shri Imtiaz Jaleel,AURANGABAD,AURANGABAD,17,9.5,7.5,-5.32,0.96,1,2022-2023,02-08-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,2,Dr Bharti Pravin Pawar,DINDORI(ST),NASHIK,17,7,10,-3.93,1.31,1,2021-2022,20-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,3,Dr Heena Vijaykumar Gavit,NANDURBAR(ST),NANDURBAR,17,7,10,-0.01,1.08,1,2021-2022,08-08-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,4,Dr Pritam Gopinath Munde,BEED,BEED,17,5,12,0.16,2.71,2,2019-2020,27-09-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,5,Dr Sujay Radhakrishna Vikhepatil,AHMEDNAGAR,AHMADNAGAR,17,9.5,7.5,-1.66,2.04,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,6,Dr. Amol Ramsing Kolhe,SHIRUR,PUNE,17,7,10,-5.83,1.3,1,2021-2022,12-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,7,Dr. Jaisidheshwar Shivachary Mahaswamiji,SOLAPUR(SC),SOLAPUR,17,5,12,-0.33,1.32,2,2019-2020,24-08-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,8,Dr. Shrikant Eknath Shinde,KALYAN,THANE,17,9.5,7.5,-0.19,2.69,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,9,Dr. Subhash Ramrao Bhamre,DHULE,DHULE,17,9.5,7.5,-2.22,2.53,1,2022-2023,30-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,10,Ms. Bhavana Gawali (Patil),YAVATMAL-WASHIM,WASIM,17,5,12,-0.21,0.44,2,2019-2020,25-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,11,Shri Arvind Ganpat Sawant,MUMBAI SOUTH,MUMBAI CITY,17,7,10,-6.99,1.09,1,2021-2022,04-02-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Maharashtra,null,12,Shri Ashok Mahadeorao Nete,GADCHIROLI-CHIMUR(ST),GARCHIROLI,17,9.5,7.5,0.79,2.05,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,13,Shri Balubhau (Alias Suresh Narayan) Dhanorkar,CHANDRAPUR,CHANDRAPUR,17,9.5,7.5,0.19,1.09,1,2022-2023,07-02-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,14,Shri Dhairyasheel Sambhajirao Mane,HATKANANGLE,KOLHAPUR,17,7,10,-5.73,0.62,1,2021-2022,28-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,15,Shri Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,MUMBAI SUBURBAN,17,9.5,7.5,-2.66,2.82,1,2022-2023,28-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,16,Shri Girish Bhalchandra Bapat,PUNE,PUNE,12,7,5,-3.38,0.13,1,2021-2022,12-09-2022,2,null,"1 / 2022-2023,2 / 2022-2023",
Maharashtra,null,17,Shri Gopal Chinayya Shetty,MUMBAI NORTH,MUMBAI SUBURBAN,17,9.5,7.5,-2.28,1.43,1,2022-2023,28-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,18,Shri Hemant Patil,HINGOLI,HINGOLI,17,7,10,-1.67,2.44,1,2021-2022,02-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Maharashtra,null,19,Shri Hemant Tukaram Godse,NASHIK,NASHIK,17,7,10,-4.76,0.21,1,2021-2022,20-09-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
